time,open,high,low,close,tick_volume,spread,real_volume
2026-04-16 09:30:00+00:00,4816.14,4824.67,4814.81,4824.04,3976,30,0
2026-04-16 09:45:00+00:00,4824.03,4830.41,4822.32,4825.89,4661,30,0
2026-04-16 10:00:00+00:00,4825.9,4830.79,4822.9,4824.89,4284,30,0
2026-04-16 10:15:00+00:00,4824.9,4829.45,4817.02,4828.06,4452,30,0
2026-04-16 10:30:00+00:00,4828.19,4830.01,4824.46,4827.31,2323,30,0
2026-04-16 10:45:00+00:00,4827.36,4828.01,4819.28,4821.0,2206,30,0
2026-04-16 11:00:00+00:00,4821.09,4821.93,4807.21,4811.47,3984,30,0
2026-04-16 11:15:00+00:00,4811.48,4814.73,4809.4,4811.46,3665,30,0
2026-04-16 11:30:00+00:00,4811.43,4813.42,4806.54,4811.9,2987,30,0
2026-04-16 11:45:00+00:00,4811.88,4814.68,4808.29,4813.73,2834,30,0
2026-04-16 12:00:00+00:00,4813.71,4817.88,4811.71,4816.06,2213,30,0
2026-04-16 12:15:00+00:00,4816.2,4816.93,4811.17,4813.03,2070,30,0
2026-04-16 12:30:00+00:00,4812.96,4814.83,4806.66,4814.58,4232,30,0
2026-04-16 12:45:00+00:00,4814.57,4815.34,4809.99,4812.72,3592,30,0
2026-04-16 13:00:00+00:00,4812.75,4815.49,4806.87,4806.96,2858,31,0
2026-04-16 13:15:00+00:00,4806.88,4810.02,4805.09,4806.93,1918,30,0
2026-04-16 13:30:00+00:00,4806.9,4812.11,4804.98,4808.2,2158,30,0
2026-04-16 13:45:00+00:00,4808.16,4817.17,4806.43,4817.06,2755,30,0
2026-04-16 14:00:00+00:00,4817.07,4820.52,4816.28,4817.44,3676,30,0
2026-04-16 14:15:00+00:00,4817.61,4819.9,4815.43,4815.98,2617,30,0
2026-04-16 14:30:00+00:00,4816.01,4819.81,4815.76,4817.68,2445,34,0
2026-04-16 14:45:00+00:00,4817.67,4822.32,4815.98,4821.95,2897,33,0
2026-04-16 15:00:00+00:00,4821.97,4822.98,4811.43,4817.15,3500,30,0
2026-04-16 15:15:00+00:00,4816.9,4818.46,4813.81,4815.11,2509,30,0
2026-04-16 15:30:00+00:00,4814.94,4820.62,4811.6,4816.99,3582,34,0
2026-04-16 15:45:00+00:00,4816.97,4818.98,4813.79,4816.07,2446,30,0
2026-04-16 16:00:00+00:00,4816.09,4822.87,4813.96,4817.22,4148,30,0
2026-04-16 16:15:00+00:00,4817.15,4821.09,4814.99,4815.5,3690,30,0
2026-04-16 16:30:00+00:00,4815.52,4823.86,4812.42,4816.09,6796,30,0
2026-04-16 16:45:00+00:00,4816.11,4819.47,4784.49,4794.68,7468,30,0
2026-04-16 17:00:00+00:00,4794.65,4805.15,4784.99,4800.81,7253,30,0
2026-04-16 17:15:00+00:00,4800.89,4802.83,4790.75,4798.91,6755,30,0
2026-04-16 17:30:00+00:00,4799.2,4800.58,4773.02,4787.64,6495,30,0
2026-04-16 17:45:00+00:00,4787.28,4793.44,4785.38,4788.57,6958,30,0
2026-04-16 18:00:00+00:00,4788.68,4812.85,4788.19,4806.52,6452,30,0
2026-04-16 18:15:00+00:00,4806.6,4809.37,4801.61,4801.61,5435,30,0
2026-04-16 18:30:00+00:00,4801.42,4810.93,4798.02,4802.65,6191,30,0
2026-04-16 18:45:00+00:00,4802.63,4808.44,4800.72,4806.8,4856,30,0
2026-04-16 19:00:00+00:00,4806.92,4809.82,4803.25,4804.76,3482,33,0
2026-04-16 19:15:00+00:00,4804.81,4805.75,4796.58,4799.18,3319,30,0
2026-04-16 19:30:00+00:00,4799.17,4799.77,4786.38,4790.05,5538,30,0
2026-04-16 19:45:00+00:00,4789.78,4793.43,4784.99,4791.77,4608,30,0
2026-04-16 20:00:00+00:00,4791.9,4795.22,4789.7,4791.31,4249,30,0
2026-04-16 20:15:00+00:00,4791.24,4793.85,4784.53,4785.02,4171,30,0
2026-04-16 20:30:00+00:00,4785.15,4789.32,4781.16,4786.84,4083,30,0
2026-04-16 20:45:00+00:00,4786.83,4790.78,4782.39,4789.07,3562,32,0
2026-04-16 21:00:00+00:00,4789.08,4794.1,4785.68,4789.98,5185,33,0
2026-04-16 21:15:00+00:00,4789.96,4793.0,4786.63,4786.9,3637,40,0
2026-04-16 21:30:00+00:00,4786.96,4791.14,4786.57,4790.27,3763,39,0
2026-04-16 21:45:00+00:00,4790.28,4792.55,4788.08,4789.42,3615,40,0
2026-04-16 22:00:00+00:00,4789.44,4795.0,4789.43,4789.93,2883,30,0
2026-04-16 22:15:00+00:00,4789.95,4793.79,4789.89,4790.7,3005,39,0
2026-04-16 22:30:00+00:00,4790.71,4797.66,4790.6,4797.47,2938,44,0
2026-04-16 22:45:00+00:00,4797.67,4798.44,4792.34,4793.49,2937,30,0
2026-04-16 23:00:00+00:00,4793.3,4793.71,4789.89,4790.33,1607,36,0
2026-04-16 23:15:00+00:00,4790.23,4791.52,4788.2,4788.78,1167,40,0
2026-04-16 23:30:00+00:00,4788.76,4790.26,4786.35,4788.52,1065,30,0
2026-04-16 23:45:00+00:00,4788.48,4790.58,4787.59,4790.57,1179,46,0
2026-04-17 01:00:00+00:00,4792.27,4797.94,4791.03,4795.26,1786,52,0
2026-04-17 01:15:00+00:00,4795.29,4796.08,4792.49,4793.83,1449,48,0
2026-04-17 01:30:00+00:00,4793.85,4795.88,4790.79,4795.08,1951,41,0
2026-04-17 01:45:00+00:00,4795.03,4796.62,4794.41,4795.06,1129,45,0
2026-04-17 02:00:00+00:00,4794.31,4795.28,4792.04,4792.74,1324,45,0
2026-04-17 02:15:00+00:00,4792.75,4797.54,4792.22,4794.3,1283,46,0
2026-04-17 02:30:00+00:00,4794.31,4796.03,4792.17,4795.6,1132,46,0
2026-04-17 02:45:00+00:00,4795.46,4796.54,4791.49,4791.49,1770,45,0
2026-04-17 03:00:00+00:00,4791.39,4791.69,4785.76,4790.0,3340,35,0
2026-04-17 03:15:00+00:00,4789.97,4792.82,4787.39,4792.76,2622,46,0
2026-04-17 03:30:00+00:00,4792.77,4798.56,4792.4,4798.56,3110,46,0
2026-04-17 03:45:00+00:00,4798.38,4801.06,4793.79,4794.75,2610,34,0
2026-04-17 04:00:00+00:00,4794.74,4795.38,4769.0,4778.65,5853,30,0
2026-04-17 04:15:00+00:00,4778.64,4784.93,4767.58,4768.57,5273,33,0
2026-04-17 04:30:00+00:00,4768.7,4777.68,4767.56,4777.64,5427,30,0
2026-04-17 04:45:00+00:00,4777.64,4791.37,4775.16,4789.41,5167,40,0
2026-04-17 05:00:00+00:00,4789.4,4794.3,4788.2,4791.23,4798,34,0
2026-04-17 05:15:00+00:00,4791.26,4791.82,4788.3,4788.91,1700,40,0
2026-04-17 05:30:00+00:00,4788.99,4794.64,4788.39,4791.34,3106,30,0
2026-04-17 05:45:00+00:00,4791.33,4793.35,4784.31,4784.44,2416,46,0
2026-04-17 06:00:00+00:00,4784.48,4797.62,4784.48,4795.81,3280,30,0
2026-04-17 06:15:00+00:00,4795.73,4797.93,4792.78,4793.92,2891,34,0
2026-04-17 06:30:00+00:00,4793.8,4794.92,4791.88,4794.17,1104,46,0
2026-04-17 06:45:00+00:00,4794.08,4796.57,4792.78,4793.18,1052,46,0
2026-04-17 07:00:00+00:00,4793.15,4796.02,4792.58,4795.25,1185,34,0
2026-04-17 07:15:00+00:00,4795.26,4796.1,4793.61,4795.86,964,30,0
2026-04-17 07:30:00+00:00,4795.83,4801.23,4795.19,4800.85,1259,30,0
2026-04-17 07:45:00+00:00,4800.86,4804.41,4798.5,4802.86,1485,30,0
2026-04-17 08:00:00+00:00,4802.78,4806.11,4799.67,4804.87,2460,30,0
2026-04-17 08:15:00+00:00,4804.86,4805.11,4801.32,4803.39,1507,46,0
2026-04-17 08:30:00+00:00,4803.37,4805.22,4795.49,4796.32,3294,30,0
2026-04-17 08:45:00+00:00,4796.46,4800.34,4793.63,4793.99,3162,34,0
